Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
20093,B004U49R2O,A3OQ6VZLTZ9FPO,"""Jimbo """"Jim""""""",0,0,4,1343865600,very good but too expensive here,$3.69 per box at stop and shop.  Also everyone keeps saying the nearly identical South Beach bars were to be discontinued back in 2011 but they are still available.
10849,B0034KP00S,A1XWVBI4ZUM9B8,VLee,0,0,5,1346976000,Yummy!,Nice sweet treat with some nutritional value. These are fantastic! The only thing is I can find them in more local store at a lower cost.
21663,B002BCD2GO,ASJDE7URATTTA,reinh1,0,0,5,1336348800,Good Deal,This is a good deal. We cook using agave nectar due to a low sugar diet. It tastes great in food.
112217,B0019MP8CS,ALZL4M6VTU430,"""J. Bundy """"French Press Coffee Drinker""""""",0,0,5,1290556800,Delicious + Healthful,Great deal via subscribe & save = set for 2 boxes a month!  Both our 2 1/2 and 9-year olds love these.  (Mom and Dad too).
99019,B003VIWN1W,AWOIXHZG0DJ7V,Lisa M. Johnson,1,1,5,1319673600,Love It!,I mix a spoonful of the Wellness food topper/mixer with Wellness Core dry food for both of my dogs and they LOVE it! It's healthy AND grain free which makes me feel confident that they are getting everything they need in their diets. Both dogs eat every bit of their food at their scheduled feedings which has been super beneficial for potty training my new rescue dog. I would highly recommend Wellness to everyone! You can't go wrong with this stuff!
10083,B003EML8PM,A2YV6E02HAZE70,EmpressK,0,0,5,1344124800,Pork rind magic!,These are magical. Put them in the microwave and they literally pop into a fresh hot crackly bag of pork rinds. They're a little on the salty side but no more so than most of the pork rinds you buy in the store. Each bag fills up a large cereal bowl. Good for a little snack when you need it and you don't want popcorn.
62001,B000CQG8K8,A29HW9DTN9SRS7,"""M. brown """"NINJA GIRL""""""",0,0,5,1220572800,EXOTIC TEA,"""TRIED THIS TEA ONCE AND BECAME """"HOOKED"""" ON EXOTIC SPICY FLAVOR!  MAKES A DELICIOUS ICED TEA AND IF YOU HAVE IT ON AUTO MONTHLY DELIVERY YOU GE A NICE BREAK ON S & H PRICE  !"""
67206,B004JRXZKM,A2AM13FSQ0UB7N,sarah,0,0,1,1345766400,yuk!,These are terrible.  I eat a lot of diet items and have never come across something so gross.  The texture is just weird and has no flavor. It does not take the flavor of what you are cooking.  I had one package and threw the rest away. Don't waste your money people.
91369,B0052LDET6,A1ETYY4Y0SRIQD,gospel on wheels,0,0,5,1328054400,great,the sprout house is a good place to shop at if you want green and seeds this is the place to go will buy again from this company
96934,B003K2F16S,A258FXO3O8EQQE,Roberta A. Ryherd,20,20,5,1239408000,Best fondant!,Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.
119975,B002R83O2O,A5BIFSZ7SA03,"""Shoe_Girl """"Shoe_Girl""""""",0,0,5,1329264000,Excellent coffee,I purchased this for work since we go through coffee very fast.  It makes a great cup of coffee and certainly far better than wasting money on more generic brands.  Great for work; it does it's job to help us do our :)
66437,B006VJ9KX2,A3BIILVJB6HVSW,gale wilson,0,0,5,1344556800,Cajohn's Trinidad Scorpion Hot sauce,This sauce is the very best bought it to bring tears to my friends eyes she didn't flinch she eqat anything hot it is pretty spicey so if your taste buds are looking for the real hot stuff this is it.Next I'm going to try the seeds to grow our own hot pepperfs.
48381,B006H34CUS,AZT6JM904UVDD,nite,0,0,3,1344297600,Okay,I liked this product but the flavor is kind of off. Thought it would taste more like cake. It's hood for something quick on the go.
129767,B005TKHJHS,A2YO18QAA1X715,Cathy,0,0,5,1325894400,Great spreads,The spreads are better when left out if you are trying to spread the cheese on a cracker. They don't have to be refrigrated and they are the greatest......I sat and ate one all by myself with crackers......lol.....
140235,B001D6B1SU,A3GHANRF4H0X9I,E. Kunhardt,1,1,5,1329868800,so delicious,I love truffles on just about anything. This product is amazing. I'm so glad I came across it. I use it primarily on cheese. Everyone raves about it. I can't be without it! I highly recommend this honey. Enjoy.
186030,B001EO617M,A18LMESO7EN5BQ,Brian Johnson,0,1,5,1335225600,The Absolute Best,I love this honey and I never thought that I would go through so much.  I eat it on everything and I also love that it doubles as a first aid antiseptic.  It promotes healing and kills bacteria/fungi.  A true wonder of the world that nature produces something so delicious and amazing.<br /><br />Cons: I cant stop eating it!
75487,B001E5E0Y2,A2G24936LOQJYO,VINCENT,0,0,5,1347753600,Tastes pretty good!,I've read that cacao powder is superior to plain old cocoa powder like Hershey's nutritionally. This is pricey but it is USDA organic. Blends well in my protein shakes. I will be ordering more in the future.
126033,B000SVFAHE,A31C6LH3C6HBDK,Betty,1,1,5,1321574400,Love cream of rice,Can't buy this in stores. I don''t know why.But glad I found this on Amazon.Ordered 12 boxes.Good deal!!!This will get me thru the winter.thanks
163765,B001YJBLI6,A17F32464UHMUL,Tina Shillinglaw,0,0,5,1323302400,Good snack,I got this for my husband but my grandkids love it also.  The small bags are the perfect size for kids and adults alike.  When I make a sandwhich it's easy to add a bag on the side by the sandwhich to make the perfect lunch.  These are good to have if you've got lots of kids to feed a quick snack to.
27488,B000ND0CMK,A1F2VXU6N83EUC,Llda Schellhase,6,6,5,1281571200,Great size,Was really surprised at the size of the plant and would order from this company again.  Packed very well along with two others I ordered.
